ASSIGNMENT_ID,EXERCISE_ID,FINISHED_AT
1,1,2017/5/23 5:23
1,2,2017/5/23 22:07
1,3,NULL
1,4,NULL
1,5,NULL
1,6,NULL
1,7,NULL
1,8,NULL
1,9,NULL
1,10,NULL
1,11,NULL
1,12,NULL
2,1,2017/5/28 22:58
2,2,2017/5/29 3:11
2,3,2017/5/29 7:24
2,4,2017/5/29 11:37
2,5,2017/5/29 15:50
2,6,2017/5/29 20:03
2,7,2017/5/30 0:16
2,8,NULL
2,9,NULL
2,10,NULL
2,11,NULL
2,12,NULL
3,1,2017/5/24 4:09
3,2,2017/5/24 18:49
3,3,2017/5/25 9:28
3,4,2017/5/26 0:07
3,5,2017/5/26 14:47
3,6,2017/5/27 5:26
3,7,2017/5/27 20:05
3,8,2017/5/28 10:45
3,9,2017/5/29 1:24
3,10,2017/5/29 16:03
3,11,2017/5/30 6:43
3,12,2017/5/30 21:22
4,1,2017/5/29 6:15
4,2,2017/5/29 9:49
4,3,NULL
4,4,NULL
4,5,NULL
4,6,NULL
4,7,NULL
4,8,NULL
4,9,NULL
4,10,NULL
4,11,NULL
4,12,NULL
5,1,2017/5/20 1:04
5,2,2017/5/21 0:44
5,3,2017/5/22 0:24
5,4,2017/5/23 0:04
5,5,2017/5/23 23:43
5,6,2017/5/24 23:23
5,7,2017/5/25 23:03
5,8,2017/5/26 22:43
5,9,2017/5/27 22:23
5,10,2017/5/28 22:02
5,11,2017/5/29 21:42
5,12,2017/5/30 21:22
6,1,2017/5/19 0:41
6,2,2017/5/20 2:34
6,3,2017/5/21 4:27
6,4,2017/5/22 6:20
6,5,NULL
6,6,NULL
6,7,NULL
6,8,NULL
6,9,NULL
6,10,NULL
6,11,NULL
6,12,NULL
7,1,2017/5/19 3:57
7,2,2017/5/20 5:32
7,3,2017/5/21 7:07
7,4,2017/5/22 8:42
7,5,2017/5/23 10:17
7,6,2017/5/24 11:52
7,7,2017/5/25 13:27
7,8,2017/5/26 15:02
7,9,NULL
7,10,NULL
7,11,NULL
7,12,NULL
8,1,2017/5/28 7:55
8,2,2017/5/28 13:30
8,3,2017/5/28 19:05
8,4,2017/5/29 0:41
8,5,2017/5/29 6:16
8,6,2017/5/29 11:51
8,7,2017/5/29 17:26
8,8,2017/5/29 23:01
8,9,2017/5/30 4:37
8,10,2017/5/30 10:12
8,11,2017/5/30 15:47
8,12,NULL
9,1,2017/5/21 23:21
9,2,2017/5/22 18:48
9,3,2017/5/23 14:16
9,4,2017/5/24 9:43
9,5,2017/5/25 5:10
9,6,2017/5/26 0:38
9,7,2017/5/26 20:05
9,8,2017/5/27 15:33
9,9,NULL
9,10,NULL
9,11,NULL
9,12,NULL
10,1,2017/5/30 20:34
10,2,2017/5/30 20:39
10,3,2017/5/30 20:43
10,4,2017/5/30 20:47
10,5,2017/5/30 20:52
10,6,2017/5/30 20:56
10,7,2017/5/30 21:00
10,8,2017/5/30 21:05
10,9,2017/5/30 21:09
10,10,2017/5/30 21:13
10,11,2017/5/30 21:18
10,12,NULL
11,1,2017/5/24 19:00
11,2,2017/5/25 8:19
11,3,2017/5/25 21:37
11,4,2017/5/26 10:55
11,5,2017/5/27 0:14
11,6,2017/5/27 13:32
11,7,NULL
11,8,NULL
11,9,NULL
11,10,NULL
11,11,NULL
11,12,NULL
12,1,2017/5/24 6:24
12,2,2017/5/24 20:51
12,3,2017/5/25 11:18
12,4,2017/5/26 1:45
12,5,2017/5/26 16:12
12,6,NULL
12,7,NULL
12,8,NULL
12,9,NULL
12,10,NULL
12,11,NULL
12,12,NULL
13,1,2017/5/26 23:20
13,2,2017/5/27 7:53
13,3,NULL
13,4,NULL
13,5,NULL
13,6,NULL
13,7,NULL
13,8,NULL
13,9,NULL
13,10,NULL
13,11,NULL
13,12,NULL
14,1,2017/5/23 1:01
14,2,2017/5/23 18:08
14,3,2017/5/24 11:16
